BANT,営業で用いられるヒアリングのフレームワーク。Budjet、Authority、Needs、Timeframeの頭文字。
バッチ処理,複数の命令やタスクをまとめて一括に処理する仕組みのこと。人間が介入せずに自動的に処理を進めることができ、大量のデータ処理や定期的な作業の自動化に適している。
エンドユーザーコンピューティング(EUC),IT部門の介入を最小限に抑えながら、従業員が自身の業務に必要なITツールやアプリケーションを自ら開発・運用するアプローチ。
SFA,営業部門のメンバー行動や商談の進捗を見える化し、営業の生産工場や業務改善を実現するためのツール。
SLA,サービス品質についての同意書。稼働率保障を99.5%。サービスの稼働率が99.5%を下回ったら返金する規定がある。
SLO,SLAの目標のこと。SVF Cloudサービスレベル目標のこと。詳しくはCSサイトに記載あり。
Dynamics 365,Mycrosoftが提供するビジネスアプリケーションのプラットフォーム。CRMやERPなどの機能を統合している。
iレポーター,株式会社シムトップスが提供する電子帳票システム。弊社と提携している。タブレットを使って現場で出力が可能。
XMLファイル,データを整理して表現するためのテキストファイル。HTMLのようなマークアップ言語の1種だが、データの構造を記述するために特化している。
キンドリルジャパン,ITインフラストラクチャーの構築、運用サービスを提供する企業。
EDIとは,Electronic Data Interchange。企業間での取引において、請求書や発注書などのデータを電子的に自動的にやり取りする仕組み。
ジョブ,処理や作業の単位。バッチ処理などに使われる。
ビュー,仮想的なデータの表示。BIダッシュボードなどで使われる。
レコード,データの１件（テーブルの１行）のこと。顧客情報などに使われる。
ハンドリング,特定の状況や事象に対処する処理を指す。エラーハンドリングなど。
Jira,タスク管理やプロジェクト管理を効率化するための強力なツール。
SSO,Single Sign-Onのこと。1度の認証で複数のサービスを利用できる仕組み。
SAP S/4HANA,SAPが提供するERPの名前。HANAだけだとDBの話になる。
エクスペリエンスクラウド,Salesforceが提供するプラットフォームで、企業が顧客・パートナー・従業員向けのポータルサイトやコミュニティを簡単に構築できるサービス。
Visualforce,Salesforceが提供するUIを変えるフレームワーク。
Apex,Salesforceに機能を追加するための専用のプログラミング言語。
サービスクラウド,カスタマーサポート業務を効率化するためのクラウドベースのシステム。
コンテナ化,仮想化。ハードウェアリソースをソフトウェアリソースで仮想的に表現すること。
ARMプロセッサ,アームと読む。CPUの名前。弊社ではインテル系でしか動作サポートしていないのでARMで検証できるかわからないがたぶんできる。
汎用L1サポート,案件単位。標準サポートになる予定。
個別L1サポート,案件単位。まっとうな要求に対するサポート。
個別L5サポート,案件単位。無茶な要求に対するサポート。
ハウジング,データセンターをもつ事業者が運営するサービスの一つで、サーバや通信機器の設置場所を顧客に貸し出すサービス。
ロングポーニング,クライアントがサーバーにリクエストを送信し、サーバーが新しいデータが利用可能になるまで接続を維持する手法。
LPR,TCP/IPネットワークを通じてプリンタにデータを伝送して印刷するためのプロトコルの一つ。（要するに、ネット経由で印刷ジョブをプリンタに送信できるシステム）
PALite,帳票サーバにTCP/IPで接続されていないプリンタへ出力する場合に経由するモジュール。
ラスターファイル,ピクセルで線を表している画像。拡大すると線がガタガタになる。
